UTC,Open,High,Low,Close,Volume
25.04.2022 17:40:33.000 UTC,0.9145,0.91451,0.91447,0.9145,10.799999999999999
25.04.2022 17:40:34.000 UTC,0.91448,0.91449,0.91444,0.91444,12.739999999999998
25.04.2022 17:40:35.000 UTC,0.91446,0.91449,0.91446,0.91449,6.14
25.04.2022 17:40:36.000 UTC,0.91449,0.91451,0.91448,0.91451,3.5999999999999996
25.04.2022 17:40:37.000 UTC,0.91453,0.91453,0.9145,0.9145,3.5999999999999996
25.04.2022 17:40:39.000 UTC,0.91452,0.91454,0.91452,0.91454,2.4
25.04.2022 17:40:40.000 UTC,0.91451,0.91451,0.91445,0.91445,4.8
25.04.2022 17:40:41.000 UTC,0.91446,0.91447,0.91445,0.91446,6
25.04.2022 17:40:42.000 UTC,0.91448,0.91448,0.91447,0.91447,2.4
25.04.2022 17:40:43.000 UTC,0.91446,0.91447,0.91446,0.91447,2.4
25.04.2022 17:40:44.000 UTC,0.91448,0.91448,0.91447,0.91447,3.5999999999999996
25.04.2022 17:40:45.000 UTC,0.91448,0.91448,0.91448,0.91448,1.2
25.04.2022 17:40:46.000 UTC,0.91446,0.91447,0.91446,0.91447,2.4
25.04.2022 17:40:47.000 UTC,0.91447,0.91451,0.91447,0.91451,7.2
25.04.2022 17:40:48.000 UTC,0.91449,0.91449,0.91449,0.91449,1.2
25.04.2022 17:40:49.000 UTC,0.91449,0.9145,0.91448,0.9145,6
25.04.2022 17:40:50.000 UTC,0.91455,0.91455,0.91452,0.91452,2.4
25.04.2022 17:40:52.000 UTC,0.91455,0.91455,0.91454,0.91454,3.5999999999999996
25.04.2022 17:40:53.000 UTC,0.91455,0.91458,0.91453,0.91453,7.2
25.04.2022 17:40:54.000 UTC,0.91452,0.91452,0.91446,0.91448,9.74
25.04.2022 17:40:56.000 UTC,0.91448,0.91453,0.91448,0.91453,6
25.04.2022 17:40:57.000 UTC,0.91452,0.91452,0.91452,0.91452,1.2
25.04.2022 17:40:58.000 UTC,0.9145,0.9145,0.9145,0.9145,1.2
25.04.2022 17:40:59.000 UTC,0.91451,0.91454,0.91451,0.91454,3.74
25.04.2022 17:41:00.000 UTC,0.91456,0.91456,0.91454,0.91454,2.4
25.04.2022 17:41:01.000 UTC,0.91453,0.91453,0.91453,0.91453,1.2
25.04.2022 17:41:02.000 UTC,0.91453,0.91453,0.91451,0.91451,2.4
25.04.2022 17:41:03.000 UTC,0.91452,0.91452,0.91452,0.91452,1.2
25.04.2022 17:41:04.000 UTC,0.91451,0.91452,0.91451,0.91452,3.5999999999999996
25.04.2022 17:41:05.000 UTC,0.91452,0.91455,0.91452,0.91454,3.74
25.04.2022 17:41:06.000 UTC,0.91453,0.91453,0.9145,0.9145,2.4
25.04.2022 17:41:07.000 UTC,0.91453,0.91453,0.91451,0.91453,7.2
25.04.2022 17:41:08.000 UTC,0.91451,0.91453,0.91451,0.91452,7.34
25.04.2022 17:41:09.000 UTC,0.91458,0.91458,0.91457,0.91457,2.4
25.04.2022 17:41:10.000 UTC,0.91456,0.91456,0.91452,0.91453,8.54
25.04.2022 17:41:11.000 UTC,0.91453,0.91453,0.91451,0.91451,3
25.04.2022 17:41:12.000 UTC,0.91452,0.91453,0.91452,0.91453,2.4
25.04.2022 17:41:13.000 UTC,0.91452,0.91452,0.91452,0.91452,1.2
25.04.2022 17:41:14.000 UTC,0.91455,0.91455,0.91455,0.91455,1.2
25.04.2022 17:41:20.000 UTC,0.91452,0.91455,0.91452,0.91455,3.5999999999999996
25.04.2022 17:41:21.000 UTC,0.91453,0.91453,0.91452,0.91452,2.4
25.04.2022 17:41:22.000 UTC,0.9145,0.9145,0.9145,0.9145,3.5999999999999996
25.04.2022 17:41:23.000 UTC,0.91449,0.91449,0.91447,0.91448,4.8
25.04.2022 17:41:24.000 UTC,0.91449,0.91452,0.91449,0.91452,2.4
25.04.2022 17:41:27.000 UTC,0.91453,0.91454,0.91453,0.91454,3.5999999999999996
25.04.2022 17:41:28.000 UTC,0.91453,0.91453,0.91452,0.91452,2.4
25.04.2022 17:41:29.000 UTC,0.91451,0.91451,0.91449,0.91449,3.5999999999999996
25.04.2022 17:41:30.000 UTC,0.91449,0.9145,0.91449,0.91449,4.8
25.04.2022 17:41:31.000 UTC,0.91447,0.9145,0.91447,0.91449,3.5999999999999996
25.04.2022 17:41:32.000 UTC,0.91448,0.91448,0.91448,0.91448,1.2
25.04.2022 17:41:33.000 UTC,0.9145,0.9145,0.91449,0.91449,2.4
25.04.2022 17:41:34.000 UTC,0.91448,0.91448,0.91448,0.91448,2.4
25.04.2022 17:41:35.000 UTC,0.91447,0.91447,0.91446,0.91447,6
25.04.2022 17:41:38.000 UTC,0.91448,0.91449,0.91448,0.91449,2.4
25.04.2022 17:41:39.000 UTC,0.91445,0.9145,0.91445,0.91449,6.140000000000001
25.04.2022 17:41:40.000 UTC,0.91449,0.91449,0.91448,0.91448,3.5999999999999996
25.04.2022 17:41:41.000 UTC,0.91449,0.91449,0.91445,0.91445,4.8
25.04.2022 17:41:43.000 UTC,0.91446,0.91449,0.91444,0.91449,6
25.04.2022 17:41:44.000 UTC,0.91448,0.91448,0.91448,0.91448,1.2
25.04.2022 17:41:45.000 UTC,0.91449,0.91449,0.91448,0.91448,2.4
25.04.2022 17:41:46.000 UTC,0.91447,0.91448,0.91447,0.91448,3.5999999999999996
